"A","B","C","D","E","F","G","H","Y"
0,-1,1,1,-1,1,1,1,24.7887342607173
0,1,-1,-1,1,-1,-1,-1,7.38782115630254
-1,0,-1,1,1,1,1,-1,11.8706028435293
1,0,1,-1,-1,-1,-1,1,16.0073520166817
-1,-1,0,1,1,-1,-1,1,11.8140805071928
1,1,0,-1,-1,1,1,-1,17.6674108760483
1,-1,1,0,1,1,-1,-1,24.3686873970292
-1,1,-1,0,-1,-1,1,1,15.374468292307
-1,-1,1,-1,0,-1,1,-1,10.2510680690237
1,1,-1,1,0,1,-1,1,32.4077129174164
1,-1,-1,-1,1,0,1,1,6.36665760492787
-1,1,1,1,-1,0,-1,-1,35.7479766763995
-1,1,1,-1,1,1,0,1,20.4159884066938
1,-1,-1,1,-1,-1,0,-1,21.7560089490196
1,1,1,1,1,-1,1,0,42.5164592788669
-1,-1,-1,-1,-1,1,-1,0,-2.88508607900783
0,0,0,0,0,0,0,0,5.63512806105922
